name,wikipedia_site,logo_url,official_site,id
Mocha,https://en.wikipedia.org/wiki/Mocha_(JavaScript_framework),https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Mocha_%28JavaScript_framework%29_%28logo%29.svg/100px-Mocha_%28JavaScript_framework%29_%28logo%29.svg.png,http://mochajs.org/,
Tape,https://en.wikipedia.org/wiki/Tape_(JavaScript_testing_framework),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Tape_%28JavaScript_testing_framework%29_Logo.svg/220px-Tape_%28JavaScript_testing_framework%29_Logo.svg.png,https://github.com/substack/tape,
Unit.js,https://en.wikipedia.org/wiki/Unit.js,https://upload.wikimedia.org/wikipedia/en/e/ec/Unit_JS_logo.png,http://unitjs.com,
Cappuccino,https://en.wikipedia.org/wiki/Cappuccino_(application_development_framework),https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Cappuccino-icon.png/80px-Cappuccino-icon.png,http://cappuccino-project.org/,
JavaScriptMVC,https://en.wikipedia.org/wiki/JavaScriptMVC,https://upload.wikimedia.org/wikipedia/commons/4/4f/Javascriptmvc.png,http://www.javascriptmvc.com,
Wakanda Framework,https://en.wikipedia.org/wiki/Wakanda_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Logo-Wakanda.io.png/320px-Logo-Wakanda.io.png,http://wakanda.io/,
Modernizr,https://en.wikipedia.org/wiki/Modernizr,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Modernizr_logo.png/220px-Modernizr_logo.png,http://modernizr.com/,
Emscripten,https://en.wikipedia.org/wiki/Emscripten,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Emscripten_logo.svg/220px-Emscripten_logo.svg.png,http://emscripten.org/,
Google Closure Compiler,https://en.wikipedia.org/wiki/Google_Closure_Compiler,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Google_closure_tools_logo.png/220px-Google_closure_tools_logo.png,https://developers.google.com/closure/,
TypeScript,https://en.wikipedia.org/wiki/TypeScript,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/TypeScript_Logo.png/220px-TypeScript_Logo.png,http://www.typescriptlang.org/,
ClojureScript,https://en.wikipedia.org/wiki/ClojureScript,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Clojure_logo.svg/220px-Clojure_logo.svg.png,http://clojure.org,
Firebug,https://en.wikipedia.org/wiki/Firebug_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Firebug_logo.png/100px-Firebug_logo.png,https://getfirebug.com/,
Komodo IDE,https://en.wikipedia.org/wiki/Komodo_IDE,https://upload.wikimedia.org/wikipedia/en/8/8a/Komodo_IDE_Logo.png,http://www.komodoide.com,
Venkman,https://en.wikipedia.org/wiki/Venkman,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Venkman_2.png/250px-Venkman_2.png,http://www.hacksrus.com/~ginda/venkman/,
Web Inspector,https://en.wikipedia.org/wiki/Web_Inspector,https://upload.wikimedia.org/wikipedia/en/6/61/Apple_Safari.png,https://apple.com/safari,
Cloud9 IDE,https://en.wikipedia.org/wiki/Cloud9_IDE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Cloud9IDE.png/260px-Cloud9IDE.png,http://c9.io/,
Atom,https://en.wikipedia.org/wiki/Atom_(text_editor),https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Atom_icon.svg/256px-Atom_icon.svg.png,https://atom.io,
CodeMirror,https://en.wikipedia.org/wiki/CodeMirror,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Baboon.svg/220px-Baboon.svg.png,https://codemirror.net/,
Light Table,https://en.wikipedia.org/wiki/Light_Table_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Light_Table_logo.png/220px-Light_Table_logo.png,http://lighttable.com/,
Brackets,https://en.wikipedia.org/wiki/Brackets_(text_editor),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Brackets_Icon.svg/220px-Brackets_Icon.svg.png,http://brackets.io/,
Visual Studio,https://en.wikipedia.org/wiki/Microsoft_Visual_Studio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Visual_Studio_2017_logo_and_wordmark.svg/220px-Visual_Studio_2017_logo_and_wordmark.svg.png,https://www.visualstudio.com,
Visual Studio Express,https://en.wikipedia.org/wiki/Microsoft_Visual_Studio_Express,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Visual_Studio_2012_logo_and_wordmark.svg/250px-Visual_Studio_2012_logo_and_wordmark.svg.png,http://visualstudio.com/products/visual-studio-express-vs,
Visual Studio Code,https://en.wikipedia.org/wiki/Visual_Studio_Code,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Visual_Studio_Code_0.10.1_icon.png/64px-Visual_Studio_Code_0.10.1_icon.png,https://code.visualstudio.com/,
Visual Studio Team Services,https://en.wikipedia.org/wiki/Microsoft_Visual_Studio#Team_Services,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Visual_Studio_2017_logo_and_wordmark.svg/220px-Visual_Studio_2017_logo_and_wordmark.svg.png,https://www.visualstudio.com,
WebAssembly,https://en.wikipedia.org/wiki/WebAssembly,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/WebAssembly_Logo.png/220px-WebAssembly_Logo.png,http://webassembly.org/,
npm,https://en.wikipedia.org/wiki/Npm_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Npm-logo.svg/220px-Npm-logo.svg.png,https://www.npmjs.com/,
NuGet,https://en.wikipedia.org/wiki/NuGet,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/NuGet_project_logo.svg/220px-NuGet_project_logo.svg.png,https://nuget.org,
Carakan,https://en.wikipedia.org/wiki/Presto_(layout_engine)#JavaScript_engines,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Presto.svg/220px-Presto.svg.png,http://dev.opera.com,
Futhark,https://en.wikipedia.org/wiki/Presto_(layout_engine)#JavaScript_engines,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Presto.svg/220px-Presto.svg.png,http://dev.opera.com,
JavaScriptCore,https://en.wikipedia.org/wiki/WebKit#JavaScriptCore,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/WebKit_logo_%282015%29.svg/220px-WebKit_logo_%282015%29.svg.png,https://webkit.org,
Linear B,https://en.wikipedia.org/wiki/Presto_(layout_engine)#ECMAScript_engines,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Presto.svg/220px-Presto.svg.png,http://dev.opera.com,
Rhino,https://en.wikipedia.org/wiki/Rhino_(JavaScript_engine),https://upload.wikimedia.org/wikipedia/commons/6/68/Inicio_de_ldp_para_260px50px_moziyarinocrnt.jpg,http://www.mozilla.org/rhino,
V8,https://en.wikipedia.org/wiki/V8_(JavaScript_engine),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/V8_JavaScript_engine_logo_2.svg/100px-V8_JavaScript_engine_logo_2.svg.png,https://developers.google.com/v8,
Dojo,https://en.wikipedia.org/wiki/Dojo_Toolkit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Dojo_toolkit_logo.svg/200px-Dojo_toolkit_logo.svg.png,http://dojotoolkit.org,
script.aculo.us,https://en.wikipedia.org/wiki/Script.aculo.us,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Scriptaculous_logo.png/220px-Scriptaculous_logo.png,http://script.aculo.us/,
Jaxer,https://en.wikipedia.org/wiki/Jaxer#Aptana_Jaxer,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/AptanaLogo.svg/100px-AptanaLogo.svg.png,http://www.aptana.com,
WakandaDB,https://en.wikipedia.org/wiki/Wakanda_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Logo-Wakanda.io.png/320px-Logo-Wakanda.io.png,http://wakanda.io/,
SWFAddress,https://en.wikipedia.org/wiki/SWFAddress,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Asual-swfaddress.jpg/200px-Asual-swfaddress.jpg,http://www.asual.com/swfaddress/,
